School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.529285214,-0.404585357,12,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.078829713,0.724490058,15,0
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,1.272536792,0.536310822,9,0
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,-0.078829713,-0.969123065,12,0
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,0.146398038,-0.216406121,4,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-1.204968467,-1.157302301,2,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.146398038,0.912669294,15,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.82208129,0.724490058,1,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-1.430196217,-1.533660773,7,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.529285214,0.159952351,11,0
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,-0.304057464,-0.028226885,0,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,-0.078829713,-0.028226885,0,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.948220044,2.229923946,6,0
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,-0.754512965,-0.592764593,17,0
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,-1.047089831,-1.086363109,2,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308,0.691321979,9,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-1.371768849,-0.888842544,2,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-1.047089831,-1.283883674,2,0
3,1,12,40.0,2.0,3,20,1,2,20.0,10.0,-0.560071305,0.493801413,11,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.397731796,-0.098760283,0,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.884750323,-0.296280848,17,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.738644765,0.296280848,10,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.738644765,0.691321979,1,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308,1.48140424,6,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.3880028,1.87644537,6,0
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,-0.397731796,-0.691321979,12,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.397731796,-0.493801413,12,0
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,0.576305256,0.493801413,10,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-1.534108358,-1.87644537,7,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,-0.560071305,-0.691321979,12,0
3,1,12,40.0,2.0,3,20,2,1,20.0,10.0,-0.722410814,-1.086363109,8,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.738644765,0.691321979,1,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,0.576305256,1.086363109,1,0
3,1,12,40.0,2.0,3,20,1,2,20.0,10.0,1.063323782,0.691321979,1,0
3,2,13,,,4,22,2,1,40.9,13.64,-1.26344502,-1.58925359,7,0
3,2,13,,,4,22,1,1,40.9,13.64,-0.681943128,-0.916877071,8,0
3,2,13,,,4,22,1,1,40.9,13.64,1.178862927,0.696826574,1,0
3,2,13,,,4,22,1,1,40.9,13.64,1.178862927,0.293400663,10,0
3,2,13,,,4,22,1,1,40.9,13.64,-0.100441236,-0.110025249,0,0
3,2,13,,,4,22,2,2,40.9,13.64,-0.914543885,-1.051352375,8,0
3,2,13,,,4,22,1,1,40.9,13.64,0.713661413,0.965777182,1,0
3,2,13,,,4,22,2,1,40.9,13.64,-0.798243507,-1.58925359,7,0
3,2,13,,,4,22,2,2,40.9,13.64,-1.030844263,-1.051352375,2,0
3,2,13,,,4,22,1,1,40.9,13.64,-1.26344502,-1.185827679,2,0
3,2,13,,,4,22,1,1,40.9,13.64,1.644064441,1.234727789,6,0
3,2,13,,,4,22,1,1,40.9,13.64,-0.216741614,0.56235127,11,0
3,2,13,,,4,22,1,1,40.9,13.64,1.527764062,1.234727789,6,0
3,2,13,,,4,22,1,1,40.9,13.64,-0.333041993,0.427875967,11,0
3,2,13,,,4,22,2,1,40.9,13.64,0.829961792,0.831301878,1,0
3,2,13,,,4,22,1,1,40.9,13.64,-0.914543885,0.024450055,17,0
3,2,13,,,4,22,2,1,40.9,13.64,0.015859143,0.56235127,5,0
3,2,13,,,4,22,2,1,40.9,13.64,0.364760278,0.56235127,5,0
3,2,13,,,4,22,1,2,40.9,13.64,1.411463684,1.369203093,6,0
3,2,13,,,4,22,2,1,40.9,13.64,-0.914543885,-0.647926464,17,0
3,2,13,,,4,22,1,1,40.9,13.64,0.713661413,0.831301878,1,0
3,2,13,,,4,22,2,1,40.9,13.64,-1.147144642,-1.454778286,7,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.432589799,-0.487605341,12,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,-1.853956283,-2.049176875,3,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,0.135956794,0.222199902,5,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,0.420230091,1.073966193,15,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.148316503,0.790044096,15,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.574726448,0.364160951,11,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.415186629,1.073966193,9,0
3,3,14,20.0,0.0,5,23,1,2,26.09,4.3,1.699459926,-1.765254777,16,1
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.432589799,0.790044096,11,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,-1.853956283,-2.049176875,3,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.557323277,1.215927242,6,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.858999744,-0.771527438,8,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.432589799,-0.203683244,0,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,0.278093442,0.648083048,5,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,-0.290453151,0.364160951,11,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.006179854,-0.203683244,0,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,1.130913332,1.35788829,13,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.557323277,0.790044096,9,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.006179854,0.080238854,0,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.290453151,-0.061722195,0,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,-1.001136393,-0.771527438,2,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,-0.716863096,-0.771527438,8,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,0.704503387,0.364160951,10,0
3,4,15,30.0,1.0,5,20,1,1,35.0,5.0,0.698443045,0.811155172,1,0
3,4,15,30.0,1.0,5,20,1,1,35.0,5.0,-0.248598372,-0.327308227,0,0
3,4,15,30.0,1.0,5,20,1,1,35.0,5.0,0.461682691,0.241923472,5,0
3,4,15,30.0,1.0,5,20,2,1,35.0,5.0,0.698443045,0.526539322,10,0
3,4,15,30.0,1.0,5,20,1,1,35.0,5.0,0.461682691,-0.042692377,4,0
