School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted_Prob,Gifted
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,1.227032207,1.683036204,1,0.9891340756835026,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,1.705366796,0.972764044,1,0.9890143975488711,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308,1.48140424,1,0.9889923484319861,0
2,4,9,40.0,2.0,5,20,2,1,5.0,70.0,1.627338345,0.481795285,1,0.9886497436131978,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.772736421,1.705433951,1,0.9882914340429041,0
3,2,13,,,4,22,1,1,40.9,13.64,1.644064441,1.234727789,1,0.9882319327264197,0
7,7,40,20.0,0.0,6,22,1,1,22.73,4.55,1.674837246,0.964716126,1,0.9880636652123026,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,0.963083378,1.691777608,1,0.9880184497481054,0
8,4,45,30.0,1.0,4,18,2,1,16.67,11.11,1.062012055,1.677456483,1,0.9879492526938345,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,1.661858499,1.048818761,1,0.9877809719723044,0
5,5,25,40.0,2.0,5,22,1,2,18.18,9.09,1.644102809,1.151785428,1,0.9876882206450499,0
9,5,53,30.0,1.0,5,20,1,1,5.0,20.0,1.436762233,1.514164162,1,0.987677546868642,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,1.179936302,1.641325516,1,0.98764238637716,0
9,6,54,30.0,1.0,6,21,2,1,38.1,9.52,0.982572271,1.678025822,1,0.9876124378046847,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,1.637693473,1,0.9875627472745215,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,1.637693473,1,0.9875627472745215,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.925841821,1.65827964,1,0.9866907217981004,0
4,3,20,,,4,22,1,1,13.64,13.64,1.626551349,0.7914185,1,0.9865519078129306,0
8,5,46,30.0,1.0,5,22,1,1,22.73,9.09,1.244469325,1.579812135,1,0.9865347645699359,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,1.364891332,1.507798564,1,0.9863808596023611,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.557323277,1.215927242,1,0.9857091746316856,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,0.658811531,1.641009868,1,0.9856609419735325,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.409209455,1.432968885,1,0.9855184625392144,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,1.599970862,0.820504934,1,0.9853980614473411,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,1.170577527,1.562980094,1,0.9851442686619121,0
5,1,21,30.0,1.0,3,21,1,1,23.81,23.81,1.053048944,1.596150748,1,0.9850981241854501,0
3,2,13,,,4,22,1,1,40.9,13.64,1.527764062,1.234727789,1,0.9850660328269286,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,1.506459555,1.259217988,1,0.984779522204707,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,1.573036185,0.98141795,1,0.9844759446066368,0
9,1,49,30.0,1.0,3,21,1,1,9.52,19.05,0.599084124,1.614366008,1,0.9844328289164804,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.557936332,0.605877851,1,0.9844245930260856,0
3,4,15,30.0,1.0,5,20,2,1,35.0,5.0,1.408724109,1.380386872,1,0.9843842897603845,0
3,2,13,,,4,22,1,2,40.9,13.64,1.411463684,1.369203093,1,0.9842118079760515,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,1.170577527,-0.59360568,1,0.9841574537249399,0
9,3,51,20.0,0.0,4,24,2,1,29.17,4.17,1.522378794,1.164792256,1,0.984051656767344,0
6,1,29,40.0,2.0,3,23,1,2,8.7,26.08,1.208133787,1.509489662,1,0.983921009668007,0
6,1,29,40.0,2.0,3,23,1,1,8.7,26.08,1.208133787,1.509489662,1,0.983921009668007,0
8,3,44,30.0,1.0,4,22,2,1,27.27,18.18,0.586076435,1.60361278,1,0.9838850989840525,0
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,1.222998372,-0.460383813,1,0.9838527406024768,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,1.557323277,0.790044096,1,0.9835625671291797,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,1.550342308,0.691321979,1,0.983533188155337,0
9,1,49,30.0,1.0,3,21,1,2,9.52,19.05,1.537947304,0.609871603,1,0.983371857863946,0
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,1.000261387,1.56150596,1,0.983265514231585,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.085020079,1.498754148,1,0.9830015169409071,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,1.54116396,0.860886861,1,0.9827969079750793,0
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,1.382571671,1.337224369,1,0.9827753282335331,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,1.203564642,1.473336978,1,0.9826525577723422,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,1.203564642,1.473336978,1,0.9826525577723422,0
9,1,49,30.0,1.0,3,21,1,1,9.52,19.05,1.537947304,0.860995204,1,0.9826478573075428,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515845,1.508350786,1,0.9826402074498854,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,0.931002123,1.551695402,1,0.9822201240798217,0
4,3,20,,,4,22,1,1,13.64,13.64,-0.203318919,1.461080308,1,0.9820454225588502,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.903603073,1.548354508,1,0.9818386770064365,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,1.23202463,1.413357648,1,0.981209513014559,0
7,7,40,20.0,0.0,6,22,1,1,22.73,4.55,-0.046958054,1.482368682,1,0.9811082990155734,0
8,7,48,40.0,2.0,6,20,1,1,20.0,20.0,1.47458852,1.059214982,1,0.9810591114486763,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.772736421,1.548354508,1,0.9810141245992846,0
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,1.48432281,0.540450563,1,0.9808656824194122,0
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,1.415866921,1.180806285,1,0.9805577022725636,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.496346723,0.783080813,1,0.9805017547762165,0
9,5,53,30.0,1.0,5,20,1,1,5.0,20.0,0.92966968,1.514164162,1,0.9804003477696028,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.317369136,1.284787427,1,0.9795672042881726,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.317369136,1.284787427,1,0.9795672042881726,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.243285206,1.508350786,1,0.979489406909883,0
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,1.367967119,1.198930588,1,0.9791585232977951,0
4,3,20,,,4,22,1,1,13.64,13.64,1.016594593,1.461080308,1,0.9789620054208859,0
