School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,1.23202463,0.55096993,1.02770822,1,0.9838541771963746,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,1.222877009,0.570010196,1.0270169651,1,0.9838151661616108,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,1.034574989,0.999195728,1.0239612107,1,0.9836415952301197,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,0.963083378,1.159007864,1.0218607238000001,1,0.9835212192185502,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.82208129,1.477207002,1.0186190036,1,0.9833337208606259,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,1.003386263,1.048818761,1.0170160123999998,1,0.9832402279657325,0
6,4,32,30.0,1.0,5,23,2,1,26.09,26.09,0.939306836,1.180806285,1.0117566707,1,0.9829298289836409,0
7,6,39,40.0,2.0,6,21,1,1,19.05,4.76,0.976830831,1.085930607,1.0095607638,1,0.982798555820482,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,0.931002123,1.182244116,1.0063747208999998,1,0.9826063174567904,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,0.772736421,1.548354508,1.0054218470999998,1,0.9825484123691041,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,0.904438943,1.23224982,1.0027822061,1,0.9823870087935392,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.272536792,0.348131587,0.9952152304999999,1,0.981916109101211,0
5,1,21,30.0,1.0,3,21,1,1,23.81,23.81,0.881622372,1.233781389,0.9872700771,1,0.981408308338675,0
9,6,54,30.0,1.0,6,21,1,2,38.1,9.52,0.982572271,0.99598952,0.9865974457,1,0.9813646782396053,0
