School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,29.043289863,33.147325836,1.3638334061,1,0.9950289396362284,0
8,7,48,40.0,2.0,6,20,1,1,20.0,20.0,31.27129668,27.532934838000003,1.3499764585999998,1,0.9947811348767792,0
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,30.742802288999997,28.627256565000003,1.3453487302,1,0.9946956560323874,0
8,5,46,30.0,1.0,5,22,1,1,22.73,9.09,29.200223925000003,32.218309215,1.345072168,1,0.9946905035581616,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,31.87047564,25.747981748999997,1.3370808303,1,0.9945394412446558,0
9,1,49,30.0,1.0,3,21,1,1,9.52,19.05,31.841525736,25.748956835999998,1.334861674,1,0.9944967351009694,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,32.015909493,25.110396864000002,1.3271395227,1,0.9943455093218624,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,28.646487324,32.739241257,1.3193681671,1,0.9941891278837006,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,28.646487324,32.739241257,1.3193681671,1,0.9941891278837006,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,28.619426718000003,32.771929644,1.3183530661999998,1,0.994168384680468,0
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,30.311704071,28.790375292,1.3172561597,1,0.994145886647522,0
3,3,14,20.0,0.0,5,23,1,1,26.09,4.3,30.736679660999997,27.665695737,1.3128204981999998,1,0.9940540216090562,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,30.74436333,27.623001960000003,1.311994991,1,0.994036766629414,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,29.856322224,29.563086843,1.3075946232999998,1,0.993943941522042,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,29.856322224,29.563086843,1.3075946232999998,1,0.993943941522042,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,33.729035877,20.3275431,1.3009542271,1,0.9938011241374384,0
6,1,29,40.0,2.0,3,23,1,1,8.7,26.08,28.873204083,31.585406958,1.2985405495,1,0.9937483829763004,0
6,1,29,40.0,2.0,3,23,1,2,8.7,26.08,28.873204083,31.585406958,1.2985405495,1,0.9937483829763004,0
9,5,53,30.0,1.0,5,20,1,1,5.0,20.0,33.973415415,19.60323264,1.2958178425,1,0.9936883512228604,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,31.138914015,26.13430584,1.2930590624999998,1,0.993626937004044,0
3,1,12,40.0,2.0,3,20,1,1,20.0,10.0,31.953080772,24.221897811,1.2926362093,1,0.9936174711219758,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,28.535197743,32.066820846,1.2882982971,1,0.9935195493861946,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,29.088221670000003,30.720218832000004,1.2864245354,1,0.9934767895712736,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,28.832081778,31.260032802,1.2844963427999998,1,0.9934324935592947,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,28.832081778,31.260032802,1.2844963427999998,1,0.9934324935592947,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,30.767454585,26.729721558,1.2840149641,1,0.9934213881759822,0
2,4,9,40.0,2.0,5,20,2,1,5.0,70.0,32.646045105,22.336157565,1.283675427,1,0.9934135437992642,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,31.467120506999997,25.047727317000003,1.28236695,1,0.9933832264357658,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,30.984171651000004,26.12688642,1.2807762313,1,0.9933461818720266,0
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,27.808928406,33.498602667,1.2795367427,1,0.9933171732953716,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,26.525249549999998,36.385759764,1.2759336238,1,0.9932321283189404,0
7,1,34,30.0,1.0,3,23,2,1,8.7,4.35,33.348301164,20.362426964999997,1.2725043227,1,0.993150182963338,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,32.021426988,23.452900659,1.2723187877,1,0.9931457213570484,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,30.359597148,27.116184321000002,1.2651748111,1,0.9929717047968736,0
5,1,21,30.0,1.0,3,21,1,1,23.81,23.81,33.648797097,19.320059808,1.2611306567,1,0.9928712483688944,0
9,1,49,30.0,1.0,3,21,1,2,9.52,19.05,31.841525736,23.488844427,1.2595245937,1,0.9928309576340372,0
8,1,42,30.0,1.0,3,16,1,1,18.75,18.75,26.495603397000004,35.927930115,1.2583668236,1,0.9928017722271766,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,30.119586201000004,27.334852794,1.2537962421,1,0.9926853935047424,0
6,1,29,40.0,2.0,3,23,1,1,8.7,26.08,26.66007405,35.261458254,1.2489432567999998,1,0.9925597690815132,0
8,4,45,30.0,1.0,4,18,2,1,16.67,11.11,27.558108495000003,33.097108347,1.2466453834000002,1,0.9924995378950248,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,28.764810413999996,30.264219198,1.2460703387999998,1,0.992484389074726,0
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,29.313122031,28.627256565000003,1.2341513768,1,0.9921634376721048,0
8,5,46,30.0,1.0,5,22,1,1,22.73,9.09,32.850667278,19.95153264,1.2201029873999998,1,0.9917675597396908,0
5,1,21,30.0,1.0,3,21,1,1,23.81,23.81,27.477440496,32.365356732,1.2159794852,1,0.9916476217429426,0
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,30.311704071,25.616735505,1.2114681668,1,0.9915144082879898,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,28.494166005,29.803794182999997,1.2096727176,1,0.9914608039796422,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,29.372235093,27.64425843,1.2059824549,1,0.9913495672379492,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,28.542489857999996,29.486545461,1.2028562821,1,0.991254205491308,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,30.767454585,24.285399525000003,1.202537563,1,0.991244424558825,0
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,31.358905290000003,22.864055067,1.2011611359,1,0.9912020591380174,0
3,3,14,20.0,0.0,5,23,2,1,26.09,4.3,28.178219988,30.220994609999998,1.1990058194,1,0.9911353095500448,0
9,6,54,30.0,1.0,6,21,2,1,38.1,9.52,26.843150439,33.102232398,1.1912083363,1,0.990889583240059,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,26.149724658,34.451538147,1.1822520783,1,0.9905989610367376,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,26.667750402000003,33.225998472,1.181691647,1,0.9905804717833416,0
5,3,23,50.0,3.0,4,20,1,1,10.0,10.0,27.806428305000004,30.440248253999997,1.1773971433,1,0.9904375848444514,0
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,27.002352482999996,32.053553640000004,1.1686347589,1,0.9901393176080784,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,29.452831128,26.214023646,1.1645765426,1,0.9899980592569244,0
4,3,20,,,4,22,1,1,13.64,13.64,27.149351337,31.149722772000004,1.1499403075,1,0.9894716761260808,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,26.332576389,32.92451676,1.1455731667,1,0.989309343920288,0
5,2,22,40.0,2.0,3,19,1,1,21.05,21.06,27.203868684,30.750539652,1.1408744415999998,1,0.9891319069122362,0
5,2,22,40.0,2.0,3,19,2,1,21.05,21.06,27.203868684,30.750539652,1.1408744415999998,1,0.9891319069122362,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,28.236440259,28.233266931000003,1.1372764734,1,0.988994061527514,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,28.269841239,28.120524786000004,1.1361162559,1,0.9889492418702478,0
8,5,46,30.0,1.0,5,22,2,1,22.73,9.09,27.375002244,30.173846454,1.134961723,1,0.9889044617807428,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,27.013217841,30.896719965,1.1309187198,1,0.9887462226507996,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,27.277349688,30.240789552,1.1295979608,1,0.988694045169147,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,29.319025815000003,25.31513547,1.1242065234999998,1,0.9884785484072024,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,28.310766309,27.623001960000003,1.1227152227,1,0.988418223848902,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,27.315332739000002,29.910235076999996,1.1215337155999998,1,0.988370208123564,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,26.379019107,31.965258618,1.1172101067,1,0.9881928079533115,0
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,28.836165024000003,26.220003075,1.1168129377,1,0.9881763777507596,0
9,5,53,30.0,1.0,5,20,1,1,5.0,20.0,26.36702712,31.627477458,1.1050180246,1,0.9876779596902836,0
7,7,40,20.0,0.0,6,22,1,1,22.73,4.55,28.424687904000002,26.682445134,1.1002238969999998,1,0.987469463719042,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,26.132427657,31.935190572000003,1.0970285035,1,0.9873285562747408,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,28.646487324,25.983755685,1.0941853146999998,1,0.9872018591180266,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,26.890784208000003,29.951101115999997,1.0898754756,1,0.9870074058385854,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,26.890784208000003,29.951101115999997,1.0898754756,1,0.9870074058385854,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,27.311174901,28.951580898000003,1.0892551889,1,0.9869791793077582,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,26.916928028999997,29.794596552,1.0866920650999998,1,0.9868618965504534,0
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,21.951225504,40.879073844,1.069953334,1,0.9860697965622222,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,27.889495001999997,26.839474101,1.0638320813,1,0.9857684641900716,0
8,1,42,30.0,1.0,3,16,1,1,18.75,18.75,36.56446668,6.356086632000001,1.0557725184,1,0.9853618486200814,0
9,6,54,30.0,1.0,6,21,2,1,38.1,9.52,26.843150439,29.010014585999997,1.0548010759,1,0.9853120677751614,0
9,6,54,30.0,1.0,6,21,1,1,38.1,9.52,26.843150439,29.010014585999997,1.0548010759,1,0.9853120677751614,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,24.954627789,33.348905559,1.05254568,1,0.9851958445512244,0
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,29.452831128,22.826797398000004,1.0516690009999998,1,0.9851504229545652,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,29.043289863,23.558651685,1.0442109344,1,0.9847583937611514,0
5,3,23,50.0,3.0,4,20,1,1,10.0,10.0,27.806428305000004,26.293498829999997,1.0391721625,1,0.9844877548390576,0
7,2,35,30.0,1.0,3,21,1,1,14.29,4.76,28.120800491999997,25.453080702,1.0356093949999998,1,0.9842935306705468,0
3,2,13,,,4,22,1,1,40.9,13.64,28.609766342999997,24.271439166,1.0342520211,1,0.984218902477228,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,27.449247681000003,26.939601917999997,1.0329282168999998,1,0.9841457822408995,0
