Grade,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
4,1,1,9.1,9.09,2.2,1.8
4,1,1,9.1,9.09,1.2,2
4,1,1,9.1,9.09,6,5.8
4,1,1,9.1,9.09,5.8,6
4,1,1,9.1,9.09,5,6
4,1,1,9.1,9.09,4.2,5
4,1,1,9.1,9.09,1.2,1.2
4,1,2,9.1,9.09,4.2,4.6
4,1,2,9.1,9.09,3.2,3.8
4,1,1,9.1,9.09,1.8,1
4,1,1,9.1,9.09,2.8,3
4,1,1,9.1,9.09,4.8,5.6
4,2,1,9.1,9.09,2.6,3.6
4,1,1,9.1,9.09,3.6,3.4
3,1,1,20,8,4.4,3.6
3,2,1,20,8,3.2,2.8
3,1,1,20,8,3.4,2.4
3,1,1,20,8,5,3.4
3,2,1,20,8,2.8,2.4
3,1,1,20,8,5.6,3.6
3,1,1,20,8,4.2,3.4
3,1,1,20,8,3.6,3.4
3,1,1,20,8,4.6,3.6
3,1,2,20,8,3,3.2
3,1,1,20,8,4.8,3
3,1,1,20,8,3.4,2.8
3,1,1,20,8,3.4,3.4
3,1,1,20,8,3.2,3
3,2,1,20,8,2.6,3.2
3,2,1,20,8,3.6,3
3,1,1,20,8,4.2,4.2
3,2,1,20,8,4,3.4
3,1,1,20,8,4,3.2
3,1,1,20,8,3.6,3
3,1,1,20,8,2.6,2.8
3,1,2,20,8,4.2,3.6
3,2,1,20,8,4.4,3.2
3,1,1,20,8,4.4,3
3,1,1,20,8,4.4,3
4,1,1,22.73,9.09,2.8,2.2
4,1,1,22.73,9.09,4.2,2.8
4,1,1,22.73,9.09,4.2,3.2
4,2,2,22.73,9.09,4.8,2.6
4,1,1,22.73,9.09,3,1.8
4,2,1,22.73,9.09,2.8,2
4,1,1,22.73,9.09,4.6,2.8
4,1,1,22.73,9.09,4.8,2.8
4,1,1,22.73,9.09,2.6,2
4,1,1,22.73,9.09,5.4,4.2
4,1,1,22.73,9.09,6,4.6
