School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,AveAca_StdDev_Before,AveSocio_StdDev_Before,AveAca_StdDev_After,AveSocio_StdDev_After
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.8172521507236725,0.4508393611921439,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.7876826728392708,-0.23771529953767465,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.7876826728392708,-1.4426859558148575,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-1.1784228963737124,-1.098408625449948,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.9055249624766426,1.827948682651781,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,2,19.05,9.52,-0.9179294140174182,-1.7869632861797669,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,-1.0481761551955653,-1.098408625449948,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.7876826728392708,-0.40985396472012947,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.3845379977640537,-0.5819926299025843,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-1.1784228963737124,-0.9262699602674935,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.1660184448329367,1.3115326871044173,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.39694244930482925,-0.06557663435522021,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-1.0481761551955653,-0.7541312950850387,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,-0.39694244930482925,-0.06557663435522021,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.006202225770387939,0.27870069600968905,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.39694244930482925,-0.06557663435522021,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.03577170365479,0.4508393611921439,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,0.514784738942201,1.3115326871044173,1.5355470562326516,1.161854019188625,1.0,1.0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.5579363318979553,0.6058778508823695,1.528273224138618,1.2732410836690973,1.0,1.0
1,4,4,40.0,2.0,5,21,2,1,33.33,4.76,-1.0593967056906093,-0.9649165773311805,1.528273224138618,1.2732410836690973,1.0,1.0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.8196696356568118,1.2341956221677892,1.528273224138618,1.2732410836690973,1.0,1.0
