School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.9860082391874225,0.37323478370711405
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-1.2973792620887157,-1.2160230049812428
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.3009919888045814,1.4327399761660184
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-0.8407017618334878,-1.2160230049812428
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-1.5257180122163294,-1.7457756012106953
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-0.6123630117058743,-1.2160230049812428
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-1.5257180122163294,-1.2160230049812428
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,0.07265323867696737,0.37323478370711405
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,1.4426857394426507,0.9029873799365663
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.529330738932195,-0.15651781252233818
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.3009919888045814,-0.15651781252233818
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.757669489059809,0.9029873799365663
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,1.4426857394426507,1.6976162742807448
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,-1.0690405119611017,-0.9511467068665168
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.9860082391874225,0.6381110818218404
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,0.757669489059809,1.1678636780512925
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,1.2143469893150365,0.10835848559238764
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.07265323867696737,0.37323478370711405
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,-0.3840242615782602,-0.15651781252233818
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,0.07265323867696737,1.1678636780512925
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,0.07265323867696737,-0.15651781252233818
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,-1.7540567623439434,-0.9511467068665168
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.33444169532785756,0.42429461902434934
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.4767573103609882,-0.7043290675804195
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-1.1527564817683593,-1.0267929780389247
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.8823568132054107,-1.5104888437266826
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.07115780751656532,-0.2206332018926615
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,-1.423156150331308,-2.155416664643693
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.7471569789239366,-0.7043290675804195
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.8752410324537545,1.0692224399413597
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,0.4696415296093319,0.42429461902434934
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.1456407010167033,1.0692224399413597
2,2,7,40.0,2.0,3,19,2,2,5.26,63.15,-1.6935558188942565,-1.0267929780389247
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,-1.0175566474868851,0.10183070856584374
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.8752410324537545,0.7467585294828541
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,-0.07115780751656532,0.5855265742536021
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,1.010440866735229,1.0692224399413597
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.4160403695796515,1.0692224399413597
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,-0.3415574760795138,-0.7043290675804195
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.06404202676490907,0.2630626637950965
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.6864400381426001,1.2304543951706126
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,0.1677050983124844,-0.36106359456516557
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-1.0062305898749053,-0.9490814485712927
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-1.1739356881873897,-0.7530754972359168
2,3,8,50.0,2.0,4,19,1,1,10.53,78.95,0.5031152949374529,0.030948308105585732
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-1.1739356881873897,-1.1450873999066682
2,3,8,50.0,2.0,4,19,1,1,10.53,78.95,1.0062305898749053,0.030948308105585732
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,0.6708203932499373,1.4029899674532156
2,3,8,50.0,2.0,4,19,1,1,10.53,78.95,-0.16770509831248404,0.030948308105585732
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,0.6708203932499373,0.42296021077633705
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.3354101966249684,-0.1650576432297897
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.3354101966249684,0.030948308105585732
2,3,8,50.0,2.0,4,19,2,2,10.53,78.95,-0.5031152949374529,-0.5570695459005415
2,3,8,50.0,2.0,4,19,1,1,10.53,78.95,-0.16770509831248404,-0.5570695459005415
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.16770509831248404,-0.5570695459005415
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,2.1801662780622952,2.187013772794718
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.8385254915624213,-0.7530754972359168
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,2.1801662780622952,2.383019724130094
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,-0.5031152949374529,0.2269542594409616
2,3,8,50.0,2.0,4,19,2,2,10.53,78.95,-1.0062305898749053,-0.9490814485712927
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.1623845320085973,-1.6595170934367478
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.4723537405442224,-1.927181140765255
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,-0.5424461149373458,-0.5888609041227172
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.1623845320085973,-1.1241889987797327
2,4,9,40.0,2.0,5,20,2,1,5.0,70.0,1.6273383448120349,0.48179528519131287
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.4723537405442224,-1.1241889987797327
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.07749230213390616,-0.5888609041227172
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.07749230213390616,-0.5888609041227172
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,0.38746151066953216,-0.05353280946570215
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,0.07749230213390616,-0.32119685679420995
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,0.6974307192051568,0.48179528519131287
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.3173691362764088,1.2847874271768351
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.07749230213390616,1.0171233798483283
2,4,9,40.0,2.0,5,20,1,1,5.0,70.0,0.07749230213390616,1.0171233798483283
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.07749230213390616,0.48179528519131287
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.6273383448120349,1.5524514745053428
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.3173691362764088,1.2847874271768351
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-0.23247690640171986,0.21413123786280505
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,-1.4723537405442224,-0.32119685679420995
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,0.07749230213390616,0.48179528519131287
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,0.4534404238516756,-0.9484303591941511
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,1.8893350993819795,1.2762828290390416
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,1.1713877616168276,1.2762828290390416
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,-2.238862092767645,-1.6158443156641085
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,0.27395358941038744,0.1639262349224453
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,0.4534404238516756,-0.28101640272419315
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-1.1619410861199169,-1.17090167801747
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.08502007947218852,-0.7259590403708316
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,0.6329272582929638,0.6088688725690842
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.6234805827960527,-1.17090167801747
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,0.8124140927342511,0.1639262349224453
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,0.6329272582929638,1.4987541478623612
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-1.1619410861199169,-0.7259590403708316
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,-1.1619410861199169,-0.05854508390087367
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.6234805827960527,-1.17090167801747
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,0.27395358941038744,0.6088688725690842
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,0.9919009271755393,0.8313401913924037
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,-0.44399374835476446,-0.05854508390087367
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,-0.08502007947218852,1.4987541478623612
2,6,11,30.0,1.0,6,20,1,2,15.0,20.0,0.14639803799676343,-0.5927645932524129
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.2725367918180215,0.34813158651332204
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.2725367918180215,0.9126692943727627
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,0.8220812902895179,1.4772070022322041
