School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted,AveAca_converted,AveSocio_converted
6,1,29,40,2,3,23,1,1,8.7,26.08,1.208133787,1.509489662,1.29854055,1,0.993748383,0,3.911217653,4.54521711
6,1,29,40,2,3,23,1,2,8.7,26.08,1.208133787,1.509489662,1.29854055,1,0.993748383,0,3.911217653,4.54521711
9,5,53,30,1,5,20,1,1,5,20,1.774823935,0.17813696,1.295817843,1,0.993688351,0,4.470416676,3.071143716
6,2,30,30,1,4,23,1,1,8.7,13.04,1.459879335,0.90381176,1.293059062,1,0.993626937,0,4.159635356,3.874610681
3,1,12,40,2,3,20,1,1,20,10,1.550342308,0.691321979,1.292636209,1,0.993617471,0,4.248902491,3.639342047
3,6,17,30,1,4,22,1,1,9.1,9.09,1.170577527,1.562980094,1.288298297,1,0.993519549,0,3.874157853,4.604441704
5,7,27,30,1,6,24,1,1,16.67,0,1.23202463,1.413357648,1.286424535,1,0.99347679,0,3.934792681,4.438779767
6,2,30,30,1,4,23,1,1,8.7,13.04,1.203564642,1.473336978,1.284496343,1,0.993432494,0,3.906708908,4.505188867
6,2,30,30,1,4,23,1,1,8.7,13.04,1.203564642,1.473336978,1.284496343,1,0.993432494,0,3.906708908,4.505188867
7,4,37,30,1,4,21,1,1,23.8,0,1.418606065,0.969969062,1.284014964,1,0.993421388,0,4.11890768,3.94786003
2,4,9,40,2,5,20,2,1,5,70,1.627338345,0.481795285,1.283675427,1,0.993413544,0,4.324880711,3.407354141
7,5,38,30,1,5,21,1,1,23.8,9.5,1.496346723,0.783080813,1.28236695,1,0.993383226,0,4.195620678,3.740937406
2,1,6,40,2,3,22,1,1,13.64,77.27,1.442685739,0.90298738,1.280776231,1,0.993346182,0,4.142669043,3.873697928
8,6,47,50,3,6,21,1,1,23.81,0,1.089880934,1.722066963,1.279536743,1,0.993317173,0,3.794527995,4.780582647
6,2,30,30,1,4,23,1,1,8.7,13.04,0.94724995,2.042862196,1.275933624,1,0.993232128,0,3.653782462,5.135767053
7,1,34,30,1,3,23,2,1,8.7,4.35,1.705366796,0.262491885,1.272504323,1,0.993150183,0,4.401877697,3.164541469
1,4,4,40,2,5,21,1,1,33.33,4.76,1.557936332,0.605877851,1.272318788,1,0.993145721,0,4.256396129,3.544738328
5,8,28,20,0,6,24,1,1,16.67,0,1.373288572,1.012909369,1.265174811,1,0.992971705,0,4.074189243,3.995403528
5,1,21,30,1,3,21,1,1,23.81,23.81,1.738755233,0.146673312,1.261130657,1,0.992871248,0,4.434824769,3.036307172
9,1,49,30,1,3,21,1,2,9.52,19.05,1.537947304,0.609871603,1.259524594,1,0.992830958,0,4.236671337,3.54916021
8,1,42,30,1,3,16,1,1,18.75,18.75,0.943955933,1.991992235,1.258366824,1,0.992801772,0,3.650531989,5.079443844
4,2,19,30,1,4,22,1,1,22.73,9.09,1.346620689,1.037205866,1.253796242,1,0.992685394,0,4.047873885,4.022304604
6,1,29,40,2,3,23,1,1,8.7,26.08,0.96223045,1.917939806,1.248943257,1,0.992559769,0,3.668564934,4.997453012
8,4,45,30,1,4,18,2,1,16.67,11.11,1.062012055,1.677456483,1.246645383,1,0.992499538,0,3.767027517,4.731189934
5,8,28,20,0,6,24,1,1,16.67,0,1.196090046,1.362691022,1.246070339,1,0.992484389,0,3.89933312,4.382681691
6,4,32,30,1,5,23,1,1,26.09,26.09,1.257013559,1.180806285,1.234151377,1,0.992163438,0,3.95945128,4.181298953
8,5,46,30,1,5,22,1,1,22.73,9.09,1.650074142,0.21683696,1.220102987,1,0.99176756,0,4.347315961,3.113992347
5,1,21,30,1,3,21,1,1,23.81,23.81,1.053048944,1.596150748,1.215979485,1,0.991647622,0,3.75818289,4.641168244
6,5,33,40,2,6,20,1,1,10,15,1.367967119,0.846303945,1.211468167,1,0.991514408,0,4.068938135,3.810938042
